title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Physics Laboratory 2	AEPH 122	1	The laboratory component of AEPH 114/AEPH 115. Illustrative experiments.	Permission of instructor.		Winter	Agricultural & Environmental Sciences	Open only to entering students who have the lecture equivalent of AEPH 114 or AEPH 115. Not open to students who have taken or are taking AEPH 114, AEPH 115, PHYS 102, PHYS 108, PHYS 118, PHYS 142.
Introduction to Aerospace Engineering	AERO 401	3	Basic concepts in all relevant aspects of aerospace engineering. Introduction to aircraft and spacecraft components, systems and operation. Aerodynamic and flight mechanics. Structures and materials. Propulsion systems. Manufacturing processes. Control and systems. Avionics and navigation.			(3-0-6)	Faculty of Engineering	Restricted to students enrolled in the Minor in Aerospace Engineering. Open to other students with instructor permission.
Aerospace Design and Certification Process	AERO 410	3	Design and certification process for aircraft, helicopters and spacecraft. Operation and performance requirements. Preliminary and detailed design process. Performance analysis. Regulatory agencies overview. Certification process. Life cycle analysis. Cost analysis. Flight testing programs. Delivery and operation.	AERO 401		(3-0-6)	Faculty of Engineering	Restricted to students enrolled in the Minor in Aerospace Engineering
Aerospace Project	AERO 460D1	3	Application of the material learned in other courses in the Minor in Aerospace Engineering to an applied project. Team project work will involve the design, fabrication, verification, and application of an aerospace system / component. Lectures on topics related to design and management of design projects. Emphasis is on the completion of a project of professional quality in collaboration with the aerospace industry.		AERO 410	Students must register for both AERO 460D1 and AERO 460D2. | No credit will be given for this course unless both AERO 460D1 and AERO 460D2 are successfully completed in consecutive terms	Faculty of Engineering	Restricted to students enrolled in the Minor in Aerospace Engineering.
Aerospace Project	AERO 460D2	3	For description see AERO 460D1.	AERO 460D1		No credit will be given for this course unless both AERO 460D1 and AERO 460D2 are successfully completed in consecutive terms	Faculty of Engineering	
Introduction to African Studies	AFRI 200	3	The African experience and current approaches to African studies, through adopting multidisciplinary perspectives on topics that include political conflict, governance and democratization, environment and conservation, economic development, rural life and urbanism, health and illness, gender, social change, popular culture, literature, film, and the arts.				Faculty of Arts	
Swahili Language and Culture	AFRI 401	3	Basic knowledge of the Swahili language and culture with emphasis on handling circumstances that might be encountered in field research			Note: Priority to students in the African Studies Program and/or participants of the Canadian Field Studies in Africa program and to students with a demonstrable need related to internship or research. Approval by African Studies Program Adviser required.	Faculty of Arts	
Honours Thesis	AFRI 480	3	Supervised reading, research and preparation of an undergraduate thesis under the direction of a staff member.	the completion of all available courses relevant to the topic, and permission of the instructor and Program Adviser prior to registration			Faculty of Arts	Open only to Joint Honours students.
Special Topics 1	AFRI 481	3	Supervised reading in advanced special topics in African Studies under the direction of a member of staff.	the completion of all available courses relevant to the topic, and permission of the instructor and Program Adviser prior to registration			Faculty of Arts	
Arts Internships: African Studies	AFRI 499	3	Internship with an approved host institution or organization.			Note: U2 and U3 students in good standing, normally after completing 30 credits of a 90-credit program or 45 credits of a 96-120 credit program, a minimum CGPA of 2.7, and permission from the departmental Internship Adviser. This course will normally not fulfill program requirements for seminar or 400-level courses.	Faculty of Arts	
Research Seminar in African Studies	AFRI 598	3	An interdisciplinary research seminar on topics of common interest to staff and students of the African Studies Program. As part of their contribution, students will prepare a research paper under the supervision of one or more members of staff.	an introductory course in any of the disciplines studying Africa			Faculty of Arts	Open to final year Program students, and to others by permission of Program Adviser
Complex Problems 1	AFYR 101	3	Introduction to an area of inquiry pertinent to multipledisciplines in Arts. Demonstrates how Arts disciplinesaddress challenging problems or topics from distinctperspectives, employing different approaches andmethodologies.				Faculty of Arts	Open only to U0 students.
Complex Problems 2	AFYR 102	3	Introduction to an area of inquiry pertinent to multipledisciplines in Arts. Demonstrates how Arts disciplinesaddress challenging problems or topics from distinctperspectives, employing different approaches andmethodologies.				Faculty of Arts	Open only to U0 students.
Principles of Microeconomics	AGEC 200	3	The field of economics as it relates to the activities of individual consumers, firms and organizations. Emphasis is on the application of economic principles and concepts to everyday decision making and to the analysis of current economic issues.			Fall | 3 lectures	Agricultural & Environmental Sciences	
Principles of Macroeconomics	AGEC 201	3	The overall economic system, how it works, and the instruments used to solve social problems. Emphasis will be on decision-making involving the entire economic system and segments of it.	AGEC 200 or equivalent		Winter | 3 lectures	Agricultural & Environmental Sciences	
Economic Systems of Agriculture	AGEC 231	3	The structure and organization of Canada's agriculture-food system, the operation, financing, linkages, and functions of its components. Focus to be on management of the various components and the entire system, types of problems confronted now and in the future.	AGEC 200 or equivalent		Winter | 3 lectures	Agricultural & Environmental Sciences	
